TRAIN_ID,ORIG,DEST,DIRECTION
1,1,13,UP
2,11,3,DOWN
3,3,13,UP
5,12,14,UP
6,6,4,DOWN
7,4,16,UP
8,8,4,DOWN
9,17,4,DOWN
10,2,20,UP
11,20,2,DOWN
12,21,1,DOWN
13,9,3,DOWN
14,5,22,UP
16,7,22,UP
