MAINT_ID,START_TIME,END_TIME,TRACK_LIST
100,0,7200,BPL:BRRG-PFR:1ML
101,0,7200,BPL:BIF:1ML;BPL:BIF-BPF:1ML;BPL:BIF-PGL:1ML
