SOLUTION_ID,DEC_TYPE,PRIORITY_ENTITY_ID,SECONDARY_ENTITY_ID,CONFLICT
2,0,100,2,2_7210_8559;1_7210_8559;|BPL:BRRG-PFR:1ML|7210|opp
1,0,100,1,100_0_7200;2_3364_4713;|BPL:BRRG-PFR:1ML|3364|maint
0,0,-1,-1,100_0_7200;1_2770_4119;|BPL:BRRG-PFR:1ML|2770|maint
